year,month,day,is_work
2015,1,1,False
2015,1,2,False
2015,1,3,False
2015,1,4,True
2015,1,5,True
2015,1,6,True
2015,1,7,True
2015,1,8,True
2015,1,9,True
2015,1,10,False
2015,1,11,False
2015,1,12,True
2015,1,13,True
2015,1,14,True
2015,1,15,True
2015,1,16,True
2015,1,17,False
2015,1,18,False
2015,1,19,True
2015,1,20,True
2015,1,21,True
2015,1,22,True
2015,1,23,True
2015,1,24,False
2015,1,25,False
2015,1,26,True
2015,1,27,True
2015,1,28,True
2015,1,29,True
2015,1,30,True
2015,1,31,False
2015,2,1,False
2015,2,2,True
2015,2,3,True
2015,2,4,True
2015,2,5,True
2015,2,6,True
2015,2,7,False
2015,2,8,False
2015,2,9,True
2015,2,10,True
2015,2,11,True
2015,2,12,True
2015,2,13,True
2015,2,14,False
2015,2,15,True
2015,2,16,True
2015,2,17,True
2015,2,18,False
2015,2,19,False
2015,2,20,False
2015,2,21,False
2015,2,22,False
2015,2,23,False
2015,2,24,False
2015,2,25,True
2015,2,26,True
2015,2,27,True
2015,2,28,True
2015,3,1,False
2015,3,2,True
2015,3,3,True
2015,3,4,True
2015,3,5,True
2015,3,6,True
2015,3,7,False
2015,3,8,False
2015,3,9,True
2015,3,10,True
2015,3,11,True
2015,3,12,True
2015,3,13,True
2015,3,14,False
2015,3,15,False
2015,3,16,True
2015,3,17,True
2015,3,18,True
2015,3,19,True
2015,3,20,True
2015,3,21,False
2015,3,22,False
2015,3,23,True
2015,3,24,True
2015,3,25,True
2015,3,26,True
2015,3,27,True
2015,3,28,False
2015,3,29,False
2015,3,30,True
2015,3,31,True
2015,4,1,True
2015,4,2,True
2015,4,3,True
2015,4,4,False
2015,4,5,False
2015,4,6,False
2015,4,7,True
2015,4,8,True
2015,4,9,True
2015,4,10,True
2015,4,11,False
2015,4,12,False
2015,4,13,True
2015,4,14,True
2015,4,15,True
2015,4,16,True
2015,4,17,True
2015,4,18,False
2015,4,19,False
2015,4,20,True
2015,4,21,True
2015,4,22,True
2015,4,23,True
2015,4,24,True
2015,4,25,False
2015,4,26,False
2015,4,27,True
2015,4,28,True
2015,4,29,True
2015,4,30,True
2015,5,1,False
2015,5,2,False
2015,5,3,False
2015,5,4,True
2015,5,5,True
2015,5,6,True
2015,5,7,True
2015,5,8,True
2015,5,9,False
2015,5,10,False
2015,5,11,True
2015,5,12,True
2015,5,13,True
2015,5,14,True
2015,5,15,True
2015,5,16,False
2015,5,17,False
2015,5,18,True
2015,5,19,True
2015,5,20,True
2015,5,21,True
2015,5,22,True
2015,5,23,False
2015,5,24,False
2015,5,25,True
2015,5,26,True
2015,5,27,True
2015,5,28,True
2015,5,29,True
2015,5,30,False
2015,5,31,False
2015,6,1,True
2015,6,2,True
2015,6,3,True
2015,6,4,True
2015,6,5,True
2015,6,6,False
2015,6,7,False
2015,6,8,True
2015,6,9,True
2015,6,10,True
2015,6,11,True
2015,6,12,True
2015,6,13,False
2015,6,14,False
2015,6,15,True
2015,6,16,True
