,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,
1,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,¡Ì,¡Ì,¡Ì,,,,,,,,¡Ì,¡Ì,¡Ì,¡Ì,NO,NO,NO
2,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì
3,¡Ì,¡Ì,¡Ì,,,,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,NO
4,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,
5,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,NO
6,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
7,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì
8,¡Ì,¡Ì,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,NO
9,,,,,,,,¡Ì,¡Ì,¡Ì,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,
10,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,NO
11,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì
12,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,
13,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,,,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,NO,NO
14,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì
15,¡Ì,,,,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,NO
16,,,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì
17,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,NO
18,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,
19,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì
20,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,,,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,NO
